Product Code,Description,Selling Group
BC0BH,BEEF C0 BULL HIND QUARTER,Bull HQ B/C0-1
BC1BH,BEEF C1 BULL HIND QUARTER,Bull HQ B/C0-1
,,
BB2B,BEEF B2 BULL,Bull Sides B/C2
BC2B,BEEF C2 BULL,Bull Sides B/C2
,,
BB2BF,BEEF B2 BULL FORE QUARTER,Bull FQ B/C2
BC2BF,BEEF C2 BULL FORE QUARTER,Bull FQ B/C2
,,
BB2BH,BEEF B2 BULL HIND QUARTER,Bull HQ B/C2
BC2BH,BEEF C2 BULL HIND QUARTER,Bull HQ B/C2
,,
BB3B,BEEF B3 BULL,Bull Sides B/C3-6
BB4B,BEEF B4 BULL,Bull Sides B/C3-6
BB5B,BEEF B5 BULL,Bull Sides B/C3-6
BB6B,BEEF B6 BULL,Bull Sides B/C3-6
BC3B,BEEF C3 BULL,Bull Sides B/C3-6
BC4B,BEEF C4 BULL,Bull Sides B/C3-6
BC5B,BEEF C5 BULL,Bull Sides B/C3-6
BC6B,BEEF C6 BULL,Bull Sides B/C3-6
,,
BB3BF,BEEF B3 BULL FORE QUARTER,Bull FQ B/C3-6
BB4BF,BEEF B4 BULL FORE QUARTER,Bull FQ B/C3-6
BB5BF,BEEF B5 BULL FORE QUARTER,Bull FQ B/C3-6
BB6BF,BEEF B6 BULL FORE QUARTER,Bull FQ B/C3-6
BC3BF,BEEF C3 BULL FORE QUARTER,Bull FQ B/C3-6
BC4BF,BEEF C4 BULL FORE QUARTER,Bull FQ B/C3-6
BC5BF,BEEF C5 BULL FORE QUARTER,Bull FQ B/C3-6
BC6BF,BEEF C6 BULL FORE QUARTER,Bull FQ B/C3-6
,,
BB3BH,BEEF B3 BULL HIND QUARTER,Bull HQ B/C3-6
BB4BH,BEEF B4 BULL HIND QUARTER,Bull HQ B/C3-6
BB5BH,BEEF B5 BULL HIND QUARTER,Bull HQ B/C3-6
BB6BH,BEEF B6 BULL HIND QUARTER,Bull HQ B/C3-6
BC3BH,BEEF C3 BULL HIND QUARTER,Bull HQ B/C3-6
BC4BH,BEEF C4 BULL HIND QUARTER,Bull HQ B/C3-6
BC5BH,BEEF C5 BULL HIND QUARTER,Bull HQ B/C3-6
BC6BH,BEEF C6 BULL HIND QUARTER,Bull HQ B/C3-6
,,
SA0,LAMB A0,Lambs A0
,,
SA1,LAMB A1,Lambs A1
,,
SA2,LAMB A2,Lambs A2-3
SA3,LAMB A3,Lambs A2-3
,,
SA4,LAMB A4,Lambs A4-6
SA5,LAMB A5,Lambs A4-6
SA6,LAMB A6,Lambs A4-6
,,
SAB0,MUTTON  AB0,Mutton AB0
,,
SAB1,MUTTON AB1,Mutton AB1
,,
SAB2,MUTTON AB2,Mutton AB2-3
SAB3,MUTTON AB3,Mutton AB2-3
,,
SAB4,MUTTON AB4,Mutton AB4-6
SAB5,MUTTON AB5,Mutton AB4-6
SAB6,MUTTON AB6,Mutton AB4-6
,,
SB0,MUTTON B0,Mutton B/C0
SC0,MUTTON  C0,Mutton B/C0
,,
